,text,score
480,Retweet this and you can kill a guy.,12582
481,My son is crazy. He thinks he's Jesus.,28779
482,"Mark Zuckerberg is one of the last people you should trust, and I mean that both literally and alphabetically.",59024
483,"Well look who's following Me! Hey there, fellas! Appreciate the support, but quit sending the Ukrainian girls. It's not gonna work. You're still going to hell. https://t.co/kQrXeVzvdg",12211
484,"Whoo-hoo! Great job, Team Humanity! Look out polar bears, you're next!https://t.co/k3Vn1BWFKZ",34225
485,I've got to figure out an organic way to have Donald Trump eaten by piranhas.,31344
486,Who's skipping church today? I know I am!,32751
487,If hell existed it would be inhabited exclusively by those who thought others were going there.,52980
488,"Now Stephen Hawking is going on and on about how I need to reconcile general relativity with quantum dynamics to create a single Theory of Everything and blah blah blah... dude, you're in heaven! Stop with the thinking, relax and enjoy the harp music!",56448
489,Try not to take yourself personally.,13819
490,New selfie! https://t.co/GQlPgYnOdi,35289
491,I want to be the kind of God atheists are proud not to believe in.,28177
492,Stephen just told Me to tell you to fuck off. https://t.co/EDiFm3IJhx,67209
493,"It’s only been a few hours and Stephen Hawking already mathematically proved, to My face, that I don’t exist.",455582
494,"Finally, someone can tell Me what I was thinking. https://t.co/NtlHA1xTUu",17993
495,There is life on other planets and from now on that's my focus.,27561
496,"Lucifer, Chief Demon of Hell, will become My new heavenly gatekeeper. He will do a fantastic job! Thank you to St. Peter for his service! Pol Pot will become the new Chief Demon of Hell, the first Cambodian so chosen. Congratulations to all!",12844
497,Could all my Indian followers retweet this? I told Brahma I was really popular there and he didn’t believe Me and it really hurt.,15097
498,The universe used to be really funny until it got all political.,14100
499,I wish I believed in something.,16894
500,"REMINDER: At 2am, please delete one hour from the Trump administration.",23364
501,I'm consistently overthanked for Friday.,47817
502,See you all soon! https://t.co/tkcmNmIoRQ,18809
503,What doesn’t kill you makes Me try harder.,28704
504,You will retweet this. RT if you agree!,6433
505,The Bible is the fakest news of all.,25428
506,Sir Roger Bannister arrived in heaven in less than four minutes.,16412
507,You’re all unprecedentedly fucked.,24109
508,Great job humanity! Another species defeated! https://t.co/06uXZeJV4e,24622
509,"Want to learn about My plans for Justin Bieber? His miraculous birth? His remarkable career? His imminent crucifixion? It's all right here, for only three shekels!https://t.co/ztuL4w8lco",2130
510,"Happy 24th birthday to My beloved son @justinbieber. Hang in there, Justin! Only nine more years till crucifixion!",13666
511,"Now that you’ve said that, NO.That “sign from Me” shit is an immediate disqualifier. https://t.co/SRjQPzK6Ft",14650
512,"EXCERPT FROM THE WORLD'S SECOND-MOST POPULAR MORAL CODE""The punishment of those who wage war against Allah and His messenger... is only this, that they should be murdered or crucified or their hands and their feet should be cut off on opposite sides...""--Quran 5:33",2561
513,"EXCERPT FROM THE WORLD'S MOST POPULAR MORAL CODE""If two men are fighting and the wife of one of them comes to rescue her husband from his assailant, and she reaches out and seizes him by his private parts, you shall cut off her hand. Show her no pity.""—Deuteronomy 25:11-12",6394
514,"EXCERPT FROM A BOOK IN YOUR HOTEL ROOM""If a man happens to meet a virgin who is not pledged to be married and rapes her and they are discovered, he shall pay her father fifty shekels of silver. He must marry the young woman, for he has violated her."" --Deuteronomy 22:28-29",5837
515,In hindsight human civilization was a bad idea.,34254
516,Young people suspect that older people suck and these young people need to know that they’re right.,27449
517,"When forced to take sides, side with the side that didn’t force you to take sides.",23946
518,Your religion is incorrect.,17306
519,"Good on you, Mike! May I recommend the part where Lot offers his daughters up to a raging mob to be gang-raped because they're virgins (Genesis 19:1-8)? That's a real morning pick-me-up! https://t.co/LgUSLdX4Rm",15714
520,"That’s why I oppose you, you arrogant bigoted hateful son of a bitch. https://t.co/MoL0AjecAS",19898
521,I'm thankful that today I can speak to you through Twitter and tell you what an asshole you are. Aren't you? https://t.co/PPcY0S8BXq,23051
522,I applied to be a god in India but apparently they’re overstaffed.,53388
523,"I am God and this is My Twitter account. It's not a joke. It's not a ""bit"". I am actually God and all who doubt it shall burn in eternal fire.Now send Me money.",27007
524,Your thoughts and prayers are My shits and giggles.,16480
525,"""In an old-fashioned, prescientific democracy, any spellbinder with a good organization behind him can turn the twenty percent of potential somnambulists into an army of regimented fanatics dedicated to the greater glory and power of their hypnotist.""Aldous Huxley, ""The Island""",5242
526,The world should be run by dogs and Canadians.,50978
527,"In My defense, I don't exist.",38378
528,"Guns don't kill people, gun lobbies do.",20783
529,"If you want to keep dangerous weapons out of the hands of the mentally ill, don't elect them President.",93424
530,"It is useless for a society to blame a person's ""mental health issues"" when that society itself is insane.",32268
531,Stop.,16673
532,I consider Myself spiritual but not religious.,17009
533,My only regret is Creation.,28113
534,With great power comes no responsibility.,26226
535,I support the separation of church and everything else.,23262
536,Never let the fear of failure keep you from failing.,15279
537,"I don't work in mysterious ways because I don't work, period.",17733
538,The reason evangelicals don’t believe in evolution is that it hasn’t happened to them yet.https://t.co/KASvPpgER5 # via @HuffPostPol,10958
539,The end of the world isn't coming any minute but EVERY minute.,8803
540,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha https://t.co/OsI49iL9EG,61945
541,Congratulations Eagles fans! Now get out there and destroy your city! You deserve it! #SuperBowlLII,18267
542,"Retweet this and you can skip church. Or, don't retweet this and skip church anyway.",13438
543,"Sarah, if I answered prayers your boss would have already died 50 billion times. https://t.co/4BVD5CPZtr",24988
544,"I most certainly did not, fat Vin Diesel. https://t.co/L8AzgrgzSU",145179
545,"I'm, like, really omniscient.",59749
546,Only I can judge you. And I have. And you're fucked.,43928
547,Retweeting this entitles you to one (1) pre-forgiven act of adultery.,11421
548,I cannot understate how small @realDonaldTrump’s penis is.,66444
549,This is the way the world endsThis is the way the world endsThis is the way the world ends From a bang that’s caused on Twitter. https://t.co/jkoRDVth5J,12337
550,No. https://t.co/8rtEeGF3md,99235
551,My resolution this year is to lose 250 orange pounds.,42588
552,Nobody understands Me.,19887
553,Retweet this so that others can see the full breadth of its pointlessness.,11174
554,As a matter of fact he makes everyone scream that name. https://t.co/nk2U6D2WyD,17902
555,Only irony can save you now.,9115
556,America was always one of those ideas that looked better on paper.,24818
557,"This is my book. If you like My wit and wisdom, imagine how much you'll enjoy it after actually paying for it!https://t.co/GrrSXVN2KK https://t.co/lulaAgYZev",2682
558,"Christianity is one massive, 2,000-year-old rape cover-up.",26110
559,"In honor of the wave of deregulation sweeping America, I hereby renounce the Ten Commandments. Go nuts, everyone!",34398
560,Probably the biggest campaign mistake Roy Moore made from a strategy standpoint was repeatedly molesting children.,21473
561,"You suck at praying, Franklin. https://t.co/qYFvjLSVmB",26543
562,"No, I'm good, thanks. https://t.co/u1BZ5DaUwi",58067
563,"Not as close as you, Margie. See you Thursday! https://t.co/EUkPCtQp9f",102534
564,Who should win?,8527
565,"Fuck you, racist. https://t.co/Y3eY4pCSyN",57075
566,I’m a bad idea.,16080
567,Shit's all fucked up.,22711
568,"Practice what you preach. Better yet, don't preach.",19953
569,😉 https://t.co/cqittOe8mm,19119
570,At this point it would be harder to name news events that AREN'T signs of the apocalypse.,16784
571,"Country over party, but humanity over both.",22623
572,"I know for a fact that Donald Trump has a very small penis.Please retweet this enough that he can't help but respond.Thanks,God",118399
573,"If you’re starting to lose faith in all human institutions, what the hell took you so long?",17656
574,"You can fool all of the people some of the time, and some of the people all of the time, but you can’t fool Robert Mueller.",15195
575,"The arc of the moral universe is long, but it bends towards impeachment.",16729
576,Why do bad things happen to good people? To even out the good things that happen to bad people.,13110
577,You’re all doing this totally wrong.,14252
578,Jesus died for all your sins but he didn't die THIS much.,17857
579,I’ve been doing fake news literally since Day One.,17262
580,"People who brag about not being politically correct tend also not to be factually, morally, or grammatically correct.",54996
581,Anybody have any theories why I'm allowing Trump to continue? I'm curious Myself.,28406
582,You're all unimaginably fucked.,26644
583,No. Wrong. Incorrect. Not true. False. https://t.co/ke8WjoDZ0w,15152
584,Look at all these suckers in church praying to Me. What a bunch of dumb asses.,17951
585,"Elephants are like people, only humane.",26936
586,Dump him.Consider yourself guided. https://t.co/D58oJwj2CM,22311
587,"In hindsight, six days was a bit of a rush job.",24192
588,A religion based on the teachings of Jesus would be a great idea.,17290
589,"The fact that the book you swear on to tell the truth, the whole truth and nothing but the truth is THE BIBLE is an all-time irony classic.",27380
590,"Fuck you, Franklin. I'm sending you to hell just like your old man. https://t.co/wRIXZiGrX2",20642
591,I apologize to some of you for most of you.,46309
592,The only person who ever needs to watch you masturbate is Jesus.,15859
593,"A year ago today, I officially forsook all of thee.",16292
594,I don’t even have a Plan A. https://t.co/Xa3eomsXcC,22328
595,"Your ex-wife and children had a right to the $117,000 in alimony you never paid, Joe.(BTW, those rights come from government, not Me.) https://t.co/RO7Yupa9RM",14910
596,"What part of the Bible did you get that from, Joe?The part with all the guns in it? https://t.co/RO7Yupa9RM",119543
597,This guy gets Me. https://t.co/qdexm5j8cW,36197
598,One day I will make Donald Trump's Twitter account inactive forever.,34105
599,"In the beginning, Robert Mueller indicted Paul Manafort and Rick Gates; and I saw that it was good.",16566
600,Oh no. I'm in trouble now. https://t.co/ODDgAufnps,53857
601,This could be the week I give Donald Trump a heart attack. #MondayMotivation,27622
602,"The more people retweet this the more likely it is that, despite having blocked Me, @JoelOsteen will see God thinks he's a fucking asshole.",33283
603,"Question: what would you consider more apocalyptic, a mega-volcano eruption or a 10.0 earthquake? Asking for a friend.",15193
604,I created mankind to destroy itself over Me.,14153
605,Yes. Because I hate America. https://t.co/YDxpE8wF1E,15665
606,Your founders owned slaves. Fuck them and fuck you too. https://t.co/ImkP7FklZT,15666
607,Retweet this and everything will magically get better.,21943
608,"I'm God, I know all your thoughts and prayers, and pretty much none of them are with Somalia.",17348
609,"I need $10,000 retweets by midnight tonight or your little planet gets it.",18857
610,"Whenever you start losing faith, continue.",12364
611,SCHEDULING NOTEAll good news is postponed indefinitely.,11436
612,I’ve run out of special places in hell.,34268
613,"On this day in 1492, America discovered smallpox, racism, subjugation, and the Bible. #ColumbusDay",29421
614,Just because a lot of people on the other side are total assholes doesn’t mean a lot of people on your side aren’t also total assholes.,26574
615,"Most terrorists are white. Me, for example.",20386
616,No. https://t.co/EdYptrY7nh,104803
617,A terrorist is a person who causes terror.,35587
618,Everything's broken.,22672
619,You can't. https://t.co/nZE3mhdWFQ,19899
620,This is the alternate universe other universes warn their kids about.,30075
621,"Fuck you, Mr. President.",53653
622,"The President of the United States is clinically, criminally insane. Have a good weekend! See you Monday!",27878
623,Do not #PrayForMexico. Send money.,71355
624,President Trump IS the great danger facing our world. https://t.co/3ruZZbx475,13945
625,I'm coming down to help you all out just as soon as I start existing.,22586
626,Don't you ever fucking use My name again. https://t.co/nRetjDubr5,52915
627,Your professional life is futile and pointless. #MondayMotivation,10982
628,"I saw what you did, @tedcruz.",41294
629,You all will die. #ThursdayThoughts,14015
630,"Then your work is done, My son. https://t.co/hstXoT7m0U",16423
631,You'd really think I'd do something.,17753
632,"Now, back to the shit show.",19941
633,I'm the all-time champion of fake news.,16849
634,Wrong. I already have. https://t.co/cEXHFI0rXK,16872
635,99% of human history is caused by men with small penises.,20955
636,And every single night I tell you to fuck off. https://t.co/Z7BII0cB6t,155486
637,Fuck that fucking motherfucker.,30206
638,"Happy Independence Day to India, the country with 329,999,999 too many gods.",16118
639,"For the record, I'm not ""back"". I was never here to begin with.",20287
640,I meant on a date. https://t.co/TISm8xJHmm,182813
641,Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck.,50739
642,Justice.,9538
643,Question: What are three things that will kill you?Answer: https://t.co/gx8D3Mm9Us,21575
644,No you don't. Fuck you. https://t.co/u5Y5OlZUgz,38914
645,I don't care about you. Please share this with friends.,12779
646,SPOT THE MISSING NUMBERDavid Bowie (1947 - 2016)Alan Rickman (1946 - 2016)Donald Trump (1946 -      ),16662
647,Retweet this and I guarantee you will win tonight's #Powerball.,7761
648,"Honestly, hanging out with David Bowie is even cooler than I thought it would be!",52220
649,David Bowie was the God I always wanted to be.,51728
650,No other organization in the world has done more to promote gun killings than the #NRA.  https://t.co/acKLhxtRca,12066
651,Funny how @NRA invokes protecting the civil liberties of Americans while helping to kill thousands of them.  https://t.co/e8If9Coj7L,15204
652,"The problem with ""We, the People"" is you, the people.",15804
653,Shut up and leave me the hell out of it you dumbass rednecks. https://t.co/TJFWK110aY,10249
654,RIP Lemmy.,9747
655,If justice is blind then it's somehow developed the capacity to hear color.,13449
656,I FORGOT JUNIOR'S BIRTHDAY!!!,26200
657,You'd better not live.You'd better just die.You'd better give up.I'm telling you why.Donald Trump is coming to the White House.,15973
658,"On this date 2,015 years ago, nothing happened. Also it wasn't this date.",25078
659,I'd like to apologize wholeheartedly to Miss Colombia &amp; Miss Philippines for my huge mistake in making Steve Harvey.,13930
660,"Steve Harvey just made #MissUniverse2015 more of a joke than it already was, which in theory should not be possible.",8595
661,"Fine, I'll coach Chelsea.",9008
662,I just hate all these people.  #GOPDebate,9304
663,"""Star Wars"" spoiler: at the end, your life goes on unchanged.",8589
664,I'm going to reduce My carbon footprint by destroying mankind.,11925
665,You better not shout. You better not cry. You better not pout. I'm telling you why. Life is a meaningless parade towards death.,19384
666,"He who knows, does not speak. He who speaks, does not know. Shut up, is what I'm saying.",10715
667,Donald Trump is a huge asshole who is ahead in the polls because millions and millions of Americans are also huge assholes.,40690
668,Yes he was. And I love him. I love My dead gay son. https://t.co/lawoTWOl7X,65439
669,Retweeting this will make everything better.,10149
670,Every new day is another chance to lose faith in humanity.,10946
671,Correct. https://t.co/a5c3KiVGEK,13263
672,Stop praying. I'm clearly not listening.,26504
673,You are all ridiculous.,7408
674,"No. I have no plan, asshole. https://t.co/EIROrXoVtT",7041
675,"Yep, I hate Cleveland THAT much.",8391
676,Only Messi can save you.,15070
677,This is an extremely ironic time for the President to be pardoning Turkey.,7510
678,You happened because I created monkeys and got arrogant.,9554
679,Jon Snow died for your sins and rose from the dead.,7832
680,I cannot overstate the extent to which mankind is screwed.,9616
681,Life is a small minority of total assholes ruining it for the vast majority of partial assholes.,14409
682,America needs to impose stringent new screening procedures on anyone seeking a seat in Congress.,8643
683,You're just all so fucking stupid.,12007
684,I've said it before and I'll say it again: the Bible is 100% accurate. Especially when thrown at close range.,17736
685,It's shut. https://t.co/4G6bKCsfQq,129265
686,I give up. You're on your own. Good luck.,14904
687,"""Give me your tired, your poor, your huddled masses yearning to breathe free. Unless they're darker than, say, beige.""- Statue of Liberty.",16657
688,What would Jesus do? Funny you ask. https://t.co/sn9a1KkV7y,11172
689,"I can kill for Myself just fine, thanks.",22341
690,I got nothing.,13797
691,Not again.,8058
692,"When someone says they ""love freedom"", rest assured they don't mean yours.",16360
693,I regret everything.,6687
694,Real quote. Real picture. Real closeting. https://t.co/PcenIOtbWc,17832
695,Could everyone please retweet this so @JoelOsteen sees that many many people think he is an asshole? Thanks in advance.,22057
696,"When Donald Trump is the saner and wiser alternative, your party has gone through the looking glass.",7828
697,I'm not verified because I never have been.,12316
698,I don't believe in evolution but at this point it would be a good idea.,8454
699,I'm not. https://t.co/kfir7Zy6nR,23672
700,Retweet this and you'll live forever.,8130
701,Thoughts and prayers don't help. You know what does help? Help.,24966
702,Welcome back Canada! Nice to see you again.,7841
703,"Congratulations, Canada. You now have the hottest First Couple on earth.",7385
704,No matter what happens always remember: I don't care.,10531
705,“It is what it is” means it’s not what it should be.,8956
706,Congratulations Toronto on having a good team that plays America's sport and an awful team that plays your own.,11881
707,One religion is right and the rest are wrong and you have to figure out what the right one is or you go to hell.,14784
708,"I am the Lord thy God, King of the Universe, and I #FeelTheBern. #DemDebate",9209
709,"Not yours, Mike. https://t.co/I21kn43w8L",8339
710,"Today America honors a man who was wrong in many, many ways. #ColumbusDay",6886
711,And that someone is Satan. https://t.co/QAVovAmi7F,9653
712,"'Twas the night before Columbus Day and all through the house,Indigenous peoples were unaware of their own imminent, protracted genocide.",10094
713,"My secretary wrote this song's lyrics and in My opinion they're worth at least $1.29, if not $1.49. https://t.co/FGFTSUUUQ6",290
714,If you retweet this you will go to hell.,11497
715,Retweeting this will change nothing.,6933
716,School shootings are a small price to pay for the freedom to be killed in school shootings.,15482
717,Low pay. Scanty resources. Constant disrespect. Insufficient recognition. The hallmarks of the world's noblest profession. #worldteachersday,6052
718,The less you know the more you don't think you need to.,8661
719,Instead of sending you all to hell I've decided it would be easier to just send hell to you.,11378
720,“Kim Davis Secretly Met with the Pope.” It’s true. A thrice-divorced woman met with a 78-year-old virgin to complain about married people.,15595
721,"It's the Tony-nominated ""Cry-Baby: The Musical""! Finally available on iTunes a scant 7 years after closing! http://t.co/H24iiG6SI6",268
722,"People say history is written by the winners, but actually history is written by historians, and most of them are losers.",10284
723,"If at first you don't succeed, blame an ethnic group.",7890
724,Focus less on the tiny bit of liquid water melting on Mars and more on the catastrophic amount of liquid water melting on Earth.,16789
725,Facebook is down. Please refrain from genuine human contact until the problem is resolved.,12354
726,I know a guy who'd love you to pre-order this. http://t.co/vADA99Qfy3 http://t.co/4cLWpaFkpa,418
727,This is the current leading candidate for the Republican nomination for President of the United States. https://t.co/bIXvzICCaO,21726
728,The Mexican border isn't nearly as insecure as Donald Trump. #GOPDebate,9395
729,"Sometimes you can spend so much time looking at your phone you forget about the beauty all around you, so be sure to Google that.",9594
730,Everybody stop what you're doing for a second and remember that one day you'll stop what you're doing forever.,7787
731,I saw what you just did and it was disgusting.,7980
732,I'm up in heaven watching the #AppleEvent with Steve Jobs. Kidding! Steve's not here.,8575
733,"Venus and Serena Williams have combined for 28 Grand Slam titles. To put that in perspective, you and your sister have 0 Grand Slam titles.",11241
734,The people who have total faith in Me tend to be the ones I have no faith in whatsoever.,8956
735,In a minute I'm going to turn the universe off and then back on again. Apologies for the inconvenience.,9186
736,Wrong. I'm not married. I'm a single Dad. http://t.co/z5I5s8n7LN,11565
737,"No, no, no, no, no, no, and what the fuck does that last one even MEAN? http://t.co/VYjXoUMin3",8149
738,"Sorry, Tim. There’s only so much even I can do. https://t.co/G4eiZCNWnQ",6103
739,You will all die.,7102
740,People continue to be the worst.,6446
741,Life is a good way to keep busy while waiting to die.,7323
742,Most of you were mistakes.,11099
743,"To answer the two obvious questions: 1. No, I did not give her the authority.2. Yes, she's a closet lesbian. https://t.co/bH3sDr7W1y",9674
744,Everybody retweet this. I'll explain later.,10579
745,"America, I cannot in good conscience bless you anymore.",9823
746,Kanye vs. Trump is exactly what America deserves.,14011
747,I have a @kanyewest complex.,6033
748,For the next 24 hours all fornication is sin-free. I know it's against policy but you need it so badly it's pathetic.,6565
749,"Yes, I had an account on Ashley Madison. Yes, I fooled around with other universes. But I didn’t Bang any of them.",9444
750,"Prepare thyself, Los Angeles. God is coming. And this time… he’s Sean Hayes. https://t.co/Z9PkkYbCGv",733
751,I have no plan.,8251
752,If Donald Trump becomes President I’m moving to another universe.,33730
753,Wrong. And I don't not have grammar neither. http://t.co/pRfpez3mTK,10202
754,"I'm proud of you, humanity. I used to flood the earth. Now you do it on your own.",10227
755,Boobs are My masterpiece.,12842
756,"It's easy for you to assume the guy who shot #CecilTheLion has a small penis, but I'm God, and I KNOW he does.",12349
757,Humanity is an epic fail.,8811
758,Sorry folks. You’re stuck on Earth 1.0. #NoUpgradePossible,7223
759,"Deep down in your soul, you need more money.",7182
760,There is not a single human being on earth that’s as good at anything as Donald Trump is good at being an asshole.,28903
761,In America anybody can grow up to believe I want them to be President.,7733
762,Who wins in a fight between Donald Trump and El Chapo? Everyone.,6690
763,"Yes, Scott. Running for president is the first part of ""My plan for you"". The second part: your humiliating defeat. http://t.co/zN2obSpJsb",8166
764,I can't believe I lost Wimbledon.,7285
765,Retweet this for a sin-free masturbation.,10592
766,Greece owes Europe some money. Europe owes Greece Western civilization. Call it even?,18192
767,"""All men are created equal."" - A man who owned 600 other men.Happy 4th of July!",28096
768,"Happy #CanadaDay to the world's Ned Flanders who shares a 3,000-mile border with Homer Simpson.",6954
769,The right to be wrong is not an excuse to be wrong.,10128
770,"""Whenever the rainbow appears, I will see it and remember My everlasting covenant with all creatures on the earth.” http://t.co/J9sEvwHjix",16406
771,What would Jesus do? Officiate a gay marriage. And then cater it using only a loaf and a fish.,12211
772,If the Founding Fathers were alive today they'd all start marrying each other.,9973
773,Gay weddings for everybody!,16551
774,All male gunowners have small penises. All female gunowners also have small penises. Please RT this so they know.,7433
775,"People say the Confederate flag is a symbol of slavery, racism and oppression, but it’s also a symbol of getting your ass kicked.",11014
776,Walmart announcing it's removing Confederate flag merchandise from its stores is the most depressing civil-rights triumph of all time.,6644
777,Congratulations to South Carolina for moving boldly forward into the late nineteenth century.,12523
778,It's tough being a single Dad.,12843
779,"Try not to worry about things you can’t control, which is pretty much everything.",7061
780,"J’aimerais inviter tous Mes fans francophones à Me Suivre @LeTweetDeGod ! Comme le compte habituel, mais avec plus de signes diacritiques !",677
781,"""Did you create mosquitoes just to annoy people?"" No. I created people just to feed mosquitoes.",10294
782,"I tried #takeyourchildtoworkday 2,000 years ago and it was the stupidest thing I ever did.",7556
783,"Don't take this the wrong way, but I regret you as a species.",14033
784,You are deeply flawed and profoundly insignificant. I say that with love.,5829
785,"If shooting animals makes you feel better about yourself, imagine how good you'd feel if you shot a human being, like yourself.",13859
786,Of course there are alternate realities. There are over 7 billion on this planet alone.,5713
787,It's great to see how many country music stars are thanking Me at the #ACMawards50 even though I think country music sucks.,9849
788,"If by ""bring glory to His name"" you mean ""kick the shit out of that loathsome bastard Floyd Mayweather"", then yes. http://t.co/P8wj5x69VJ",9017
789,Retweeting this counts as going to church.,9402
790,"I only reveal Myself to stoners, schizophrenics and conservative Republicans.",12996
791,"Jamaica just decriminalized pot. Finally, Jamaicans can smoke pot.",8309
792,I see you when you masturbate and you're very good at it.,7171
793,It is risen! #AnActOfGod http://t.co/KucIgUcToi,1468
794,In the interest of taking the pressure off you so you can relax and enjoy life I'm just going to tell you up front you're all going to hell.,5251
795,Get ready for Hillary Clinton to pretend to believe the hell out of Me.,7333
796,I'm skipping church.,5272
797,Retweeting this is useless.,3042
798,"It's easy to blame other people for your problems. Seriously, try it.",7396
799,"Time flies when you're having fun, so the more you enjoy life the quicker you'll be dead.",5772
800,"Many of you are stupid. I know I tweet this a lot, but in My defense many of you are stupid a lot.",5905
801,It's not institutionalized racism. It's just millions of isolated cases.,6214
802,If I didn't want men to be attracted to other men I wouldn't have made cock so delicious.,8524
803,The first step to recovering from repeatedly shooting unarmed black people is admitting you’re repeatedly shooting unarmed black people.,10113
804,Your problem is you.,6645
805,Picture by @ZakNoyle. Set design by Me and you. http://t.co/qlncEOw79s,6645
806,Christ is risen. Kentucky is fallen. #HappyEaster,6847
807,"""YOLT."" - Jesus.",8706
808,Retweet this if you should be doing something other than scanning Twitter for something to retweet.,7697
809,Apparently it's Opposite Night on CNN and Fox. http://t.co/ik4hqvFZ9N,7229
810,"THE NEW 10 PLAGUES1. Ebola2. Kale3. Extremism4. Normcore5. #6. Bikram yoga7. FIFA8. Climate change9. ""Religious freedom"" 10. Fox",10277
811,My son died for your sins and I'll never forgive you for that.,7096
812,Jesus is going out for dinner with his friends again tonight. I'd go but he always does that weird cannibal bread shit. #NotMyScene,6166
813,"""NASCAR Decries Indiana Anti-Gay Law"". And when NASCAR calls you homophobic, you are homo-friggin'-phobic.",10599
814,Just because I'm Jesus doesn't mean I'm not also his dad. #ItsComplicated,6488
815,"""Scientology"" is a combination of ""scient-,"" meaning ""science,"" and ""-ology,"" meaning ""science."" And it just gets stupider from there.",18862
816,Every Sunday is Palm Sunday when you masturbate.,6911
817,I just cruelly tormented the fans of a religious institution from Indiana. Draw your own conclusions. #NDvsKY,6123
818,"Being gay isn’t a choice, but living in Indiana is.",22880
819,I would support #BoycottIndiana if Indiana made anything worth buying or had anything worth visiting.,6230
820,"If you can make a difference in the life of one person, it should probably be you.",5869
821,Free will was probably a mistake.,6722
822,Sometimes in life all you need is for just one person to shut up.,5037
823,"Stop calling Me your ""imaginary friend"". I'm not your friend.",7920
824,Retweet if you’re horribly despondent about the future of humanity. Favorite if you’re not!,4029
825,"You should care about each other, because I sure as hell don't.",6472
826,Take it from Me: never promise land to anybody.,6384
827,Your prayer is important to us. Please continue to kneel. Your request will be taken by the next available angel in around 10 million years.,5778
828,"I've said this before, but I want to apologize to the Irish for the potato famine. I wasn't mad at you, Ireland. I was mad at the potatoes.",6884
829,The #BoycottDolceGabbana movement is both smaller and less established than the #CantAffordDolceGabbana movement.,5668
830,Want to know My favorite place? Animal? Movie? TV show? I tell @neiltyson all in this extra from our interview: http://t.co/4xBCv7GkEW,941
831,No matter how bad things get they always get better. And then they get worse. Then better again. Then worse again. You see the pattern.,7746
832,There's a very good chance you're stupid.,5185
833,How can you not see the pattern?!?3.14159265358979323846264338327950288419716939937510582097494459230781640628…IT’S SO OBVIOUS! #PiDay,6484
834,"Sometimes when the whole world is telling you you’re wrong, it’s because you’re wrong.",5913
835,Everything happens for no reason. It is extremely important to understand this.,9273
836,You can follow your dreams but they still might unfollow you.,7292
837,I'm omniscient but even I don't know what the Philadelphia Eagles are doing.,10258
838,"The Apple Watch may become so addictive it keeps people from looking at what's truly important in life, like their iPhones.",6424
839,"""Unto the woman he said... thy desire shall be to thy husband, and he shall rule over thee."" (Genesis 3:16).#HappyInternationalWomensDay!",4692
840,"""Men have authority over women because God has made the one superior to the other."" (Quran 4:34).#HappyInternationalWomensDay!",5017
841,"""I do not permit a woman to teach or to have authority over a man; she must be quiet."" (1 Timothy 2:12).#HappyInternationalWomensDay!",6875
842,Sexual orientation is genetic. Political orientation is a choice. But new employee orientation is mandatory.,5558
843,Bigotry is a sacred union between a man and an outdated belief system.,7591
844,This guy's raising four more fingers to Me than I'm raising back to him. http://t.co/id9oBu4U32,7057
845,There is only one potential problem with standing up for what you believe in: what you believe in.,5472
846,The Alabama Supreme Court has blocked same-sex marriage on the legal grounds that it is 1953.,5433
847,Don't tell Me which nations to bless. I don't tell you which nations to bomb.,8479
848,Don't take this the wrong way but you're all a bunch of morons.,6794
849,The Bieb's 21st birthday is a good time for Me to re-pimp the e-gospel of his life and crucifixion: The Book of Bieb. http://t.co/1zGZimiuY8,475
850,As of today Justin Bieber can legally go to a bar and drink away the pain of knowing he'll spend the rest of his life being Justin Bieber.,7242
851,Always remember: I don’t care.,8128
852,I know from your perspective the world seems to make little sense but I assure you that from where I sit it makes absolutely no sense.,8819
853,"I was so close to letting Australia win. But then I remembered, you know, Abbott. #AUSvsNZ #CWC15",4678
854,"Is this planet blue and white, brown and green, or on the brink of total catastrophe? http://t.co/gLfORVwHzE",10129
855,RIP Leonard Nimoy.,6436
856,The Kardashians have signed a 4-year deal to stay with E! for $100 million and I’m starting to think I don’t exist.,7282
857,"The color of a dress? Really? That's what you're asking Me? THE OCEAN LEVELS ROSE FOUR INCHES IN TWO YEARS. You know that, right?",22572
858,"I feel like ""Thou shalt not kill"" was fairly unambiguous. Is it the ""thou"" that's throwing you off? 'Cause that just means ""you"", old-style.",8381
859,"Selfie sticks are a way of saying ""Only a one-meter spherical radius can contain my narcissism.""",5375
860,"Marijuana is now legal in Washington, DC. This can only help.",5038
861,"If you find yourself tempted to join IS, start by taking baby steps, like blowing yourself up.",5113
862,"Even I can't save you now, Arsenal. #AFC",4416
863,No he won't. If anything he'll ask them for help with the catering. http://t.co/8Q5a0Ys2zQ,11033
864,Hell is reserved for those who spent their lives telling others they would go there.,11080
